TYPES;LONGUEUR;LARGEUR;EPAISSEUR;POIDS
1;47;26;13;3,69
1;44;25;12;3,25
1;52;25;13;4,6
1;46;25;11;3,42
1;51;22;11;3,41
1;49;23;10;3,32
1;56;25;12;4,34
1;49;24;11;3,6
1;52;29;12;4,47
1;52;25;11;4,36
1;47;27;10;3,33
1;53;25;13;4,4
1;50;24;12;4
1;41;26;13;3,94
1;50;24;10;2,83
1;48;22;12;3,13
1;47;25;14;3,97
1;46;28;14;4,41
1;48;24;13;4,09
1;44;28;15;4,62
1;42;26;12;4,09
1;52;24;12;4,01
1;47;25;12;3,53
1;50;24;12;3,76
1;51;25;12;3,67
1;49;24;13;4,34
1;47;25;12;3,55
1;48;25;13;4,43
1;44;26;17;6,11
1;48;27;12;4,63
1;43;23;12;3,49
1;50;27;9;3,68
1;44;25;11;3,26
1;47;27;12;3,61
1;47;24;11;3,53
1;50;26;11;3,78
1;44;26;11;3,31
1;52;26;14;5,27
1;47;23;10;2,96
1;50;25;11;3,51
1;46;25;11;3,95
1;52;22;14;4,13
1;45;25;11;3,69
1;50;27;13;4,41
1;52;22;12;3,38
1;52;26;12;4,05
1;48;24;10;3,05
1;45;23;10;2,48
1;48;27;12;4,06
1;46;25;12;3,7
1;44;26;16;4,13
1;48;28;11;3,81
1;49;26;13;4,44
1;48;29;14;4,94
1;43;24;13;3,67
1;39;27;16;4,24
1;54;27;11;3,63
1;46;24;11;3,26
1;49;27;11;3,16
1;47;27;12;4,12
1;49;27;12;4,46
1;51;26;11;3,88
1;50;26;13;3,63
1;48;27;11;3,76
1;52;28;10;3,77
1;48;26;11;3,36
1;49;24;10;3,4
1;47;26;10;3,28
1;46;28;13;4,14
1;43;23;12;3,33
1;48;22;13;3,64
1;51;24;11;3,43
1;42;25;16;4,76
1;49;24;11;3,35
1;46;27;15;5,17
1;47;28;13;4,4
1;47;27;11;3,28
1;48;21;12;3,07
1;49;27;12;4,34
1;41;21;12;3,09
1;47;22;12;2,89
1;45;27;16;5,69
1;55;24;12;3,79
1;47;26;13;3,93
1;48;24;14;4,82
1;52;27;12;3,9
1;47;24;12;3,87
1;51;25;14;4,55
1;42;24;16;4,87
1;44;25;11;2,7
1;44;24;11;3,22
1;49;22;12;3,08
1;49;26;12;3,92
1;45;27;12;3,43
1;45;26;11;3,54
1;45;24;11;2,8
1;47;30;12;4,06
1;49;26;12;3,75
1;46;25;12;3,62
1;51;25;11;3,85
1;53;25;12;3,78
1;40;24;10;2,71
1;51;23;13;4,48
1;51;24;13;4,35
1;44;22;12;2,99
1;50;24;13;3,9
1;50;26;11;3,6
1;45;27;16;5,45
1;48;24;10;3,4
1;43;24;12;3,22
1;53;27;11;3,87
1;49;22;12;4,1
1;46;25;11;3,22
1;45;23;12;2,86
1;50;22;12;3,44
1;51;26;12;4,33
1;48;25;13;4,22
1;50;25;14;3,99
1;45;24;11;2,79
1;50;26;9;2,56
1;48;27;13;4,22
1;41;22;9;2,35
1;50;23;13;3,49
1;47;24;12;3,81
1;50;26;13;4,39
2;57;27;11;3,97
2;50;24;12;3,54
2;55;31;10;4,2
2;51;26;13;4,22
2;60;30;15;6,31
2;60;29;14;5,16
2;55;32;11;4,74
2;56;26;15;5,44
2;52;30;11;4,37
2;53;29;14;4,1
